"time","CA","CB","CP","CI","X_A","Y_P","S_P","purity","production_rate","reactor"
65.5,0.117143825198478,0.317143825198478,0.792919141885714,0.0899370329158087,0.882856174801522,0.792919141885714,0.898129461648544,0.898129461648544,2.37875742565714,"CSTR"
66,0.117143825196612,0.317143825196612,0.792919141887389,0.0899370329159987,0.882856174803388,0.792919141887389,0.898129461648544,0.898129461648544,2.37875742566217,"CSTR"
66.5,0.117143825195043,0.317143825195043,0.792919141888799,0.0899370329161586,0.882856174804957,0.792919141888799,0.898129461648544,0.898129461648544,2.3787574256664,"CSTR"
67,0.117143825193722,0.317143825193722,0.792919141889985,0.0899370329162931,0.882856174806278,0.792919141889985,0.898129461648544,0.898129461648544,2.37875742566995,"CSTR"
67.5,0.117143825192612,0.317143825192612,0.792919141890982,0.0899370329164062,0.882856174807388,0.792919141890982,0.898129461648544,0.898129461648544,2.37875742567295,"CSTR"
68,0.117143825191677,0.317143825191677,0.792919141891821,0.0899370329165014,0.882856174808323,0.792919141891821,0.898129461648544,0.898129461648544,2.37875742567546,"CSTR"
68.5,0.117143825190891,0.317143825190891,0.792919141892528,0.0899370329165815,0.882856174809109,0.792919141892528,0.898129461648544,0.898129461648544,2.37875742567758,"CSTR"
69,0.11714382519023,0.31714382519023,0.792919141893122,0.0899370329166489,0.88285617480977,0.792919141893122,0.898129461648544,0.898129461648544,2.37875742567936,"CSTR"
69.5,0.117143825189673,0.317143825189674,0.792919141893621,0.0899370329167056,0.882856174810327,0.792919141893621,0.898129461648544,0.898129461648544,2.37875742568086,"CSTR"
70,0.117143825189205,0.317143825189206,0.792919141894041,0.0899370329167532,0.882856174810795,0.792919141894041,0.898129461648544,0.898129461648544,2.37875742568212,"CSTR"
70.5,0.117143825188812,0.317143825188812,0.792919141894395,0.0899370329167934,0.882856174811188,0.792919141894395,0.898129461648544,0.898129461648544,2.37875742568319,"CSTR"
71,0.11714382518848,0.31714382518848,0.792919141894693,0.0899370329168271,0.88285617481152,0.792919141894693,0.898129461648544,0.898129461648544,2.37875742568408,"CSTR"
71.5,0.117143825188202,0.317143825188202,0.792919141894943,0.0899370329168555,0.882856174811798,0.792919141894943,0.898129461648544,0.898129461648544,2.37875742568483,"CSTR"
72,0.117143825187967,0.317143825187967,0.792919141895153,0.0899370329168794,0.882856174812033,0.792919141895153,0.898129461648544,0.898129461648544,2.37875742568546,"CSTR"
72.5,0.11714382518777,0.31714382518777,0.792919141895331,0.0899370329168995,0.88285617481223,0.792919141895331,0.898129461648544,0.898129461648544,2.37875742568599,"CSTR"
73,0.117143825187604,0.317143825187604,0.79291914189548,0.0899370329169164,0.882856174812396,0.79291914189548,0.898129461648544,0.898129461648544,2.37875742568644,"CSTR"
73.5,0.117143825187465,0.317143825187465,0.792919141895605,0.0899370329169306,0.882856174812535,0.792919141895605,0.898129461648544,0.898129461648544,2.37875742568681,"CSTR"
74,0.117143825187347,0.317143825187347,0.79291914189571,0.0899370329169426,0.882856174812653,0.79291914189571,0.898129461648544,0.898129461648544,2.37875742568713,"CSTR"
74.5,0.117143825187248,0.317143825187248,0.792919141895799,0.0899370329169527,0.882856174812752,0.792919141895799,0.898129461648544,0.898129461648544,2.3787574256874,"CSTR"
75,0.117143825187165,0.317143825187165,0.792919141895874,0.0899370329169611,0.882856174812835,0.792919141895874,0.898129461648544,0.898129461648544,2.37875742568762,"CSTR"
75.5,0.117143825187095,0.317143825187095,0.792919141895937,0.0899370329169683,0.882856174812905,0.792919141895937,0.898129461648544,0.898129461648544,2.37875742568781,"CSTR"
76,0.117143825187036,0.317143825187036,0.79291914189599,0.0899370329169742,0.882856174812964,0.79291914189599,0.898129461648544,0.898129461648544,2.37875742568797,"CSTR"
76.5,0.117143825186987,0.317143825186987,0.792919141896034,0.0899370329169793,0.882856174813013,0.792919141896034,0.898129461648544,0.898129461648544,2.3787574256881,"CSTR"
77,0.117143825186945,0.317143825186945,0.792919141896071,0.0899370329169835,0.882856174813055,0.792919141896071,0.898129461648544,0.898129461648544,2.37875742568821,"CSTR"
